id,Organization ,Address
1,Beach Flats Community Center,"133 Leibrandt Ave.,Santa Cruz, CA 950"
2,Caffee Pergolesi,"418 Cedar Street, Santa Cruz, CA 95060"
3,Firefly Coffee House,"131 A Front St., Santa Cruz, CA 95060"
4,Louden Nelson Community Center,"301 Center St., Santa Cruz, CA 95060"
5,Aptos Branch Library,"7695 Soquel Ave., Aptos, CA 95003"
6,Capitola Branch Library,"2005 Wharf Rd., Capitola, CA 95010"
7,Santa Cruz Public Library,"224 Church St., Santa Cruz, CA 95060"
8,Branciforte Branch Library,"230 Gault St., Santa Cruz, CA 95062"
9,Garfield Park Branch Library,"705 Woodrow Ave., Santa Cruz, CA 95060"
10,Live Oak Branch Library,"2380n Portolla Ave., Santa Cruz, CA 95060"
11,Starbucks Mission St.,"2202 Mission St., Santa Cruz, CA 95060"
12,Starbucks East Cliff,"21620 E Cliff Dr., Santa Cruz, CA 95062"
13,Starbucks Pacific Ave.,"1335 Pacific Ave., Santa Cruz, CA 95060"
14,99 Botles of Beer,"110 Walnut Ave, Santa Cruz, CA 95060"